;artists;Title;Title language;Artist name language;Artist name language ISO;Artist name language FULL;Title language ISO;Title language FULL
863;Yves Montand;Les Cireurs De Souliers De Broadway;['fr', 'french'];['fr', 'french'];fr;french;fr;french
870;Igor Stravinsky,Michael Tilson Thomas;Le sacre du printemps (The Rite of Spring): Première partie: L'adoration de la terre (Part I: Adoration of the Earth): Danse de la terre (Dance of the Earth);['fr', 'french'];['en', 'english'];en;english;fr;french
906;Igor Stravinsky,Columbia Symphony Orchestra;L'Oiseau de feu: Introduction - 1910 version;['fr', 'french'];['en', 'english'];en;english;fr;french
907;Igor Stravinsky,Eugene Ormandy;Stravinsky: Le sacre du printemps (The Rite of Spring): Le sacre du printemps: The Adoration of the Earth: Ritual of Abduction;['fr', 'french'];['en', 'english'];en;english;fr;french
922;Igor Stravinsky,Columbia Symphony Orchestra;L'Oiseau de feu: Brusque apparition d'Ivan Tsarévitch - 1910 version;['fr', 'french'];['en', 'english'];en;english;fr;french
939;Igor Stravinsky,Columbia Symphony Orchestra;L'Oiseau de feu: Apparition de l'Oiseau de feu - 1910 version;['fr', 'french'];['en', 'english'];en;english;fr;french
943;Igor Stravinsky,Columbia Symphony Orchestra;"Le sacre du printemps: Part 1 ""Adoration of the Earth"", The Wise Elder";['fr', 'french'];['en', 'english'];en;english;fr;french
944;Giacomo Puccini,Giuseppe Antonicelli,Metropolitan Opera Orchestra;La Bohème: Act IV - Quadriglia;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
949;Igor Stravinsky,Concertgebouworkest,Eduard van Beinum;Le Sacre du Printemps / Part 1: L'Adoration de la Terre: 8. Danse de la terre;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
950;Giacomo Puccini,Giuseppe Antonicelli,Metropolitan Opera Orchestra;La Bohème: Act II - Oh! Essa! Musetta!;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
956;André Gide,Jean Amrouche;"""Les Faux-monnayeurs"": Composition...";['fr', 'french'];['fr', 'french'];fr;french;fr;french
958;Colette,André Parinaud,Robert Casadessus;Dualité de Colette et Claudine;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
966;Fromental Halévy,Richard Tucker,Wilfrid Pelletier;"La Juive: ""Rachel, quand du seigneur""";['fr', 'french'];['en', 'english'];en;english;fr;french
1014;Bourvil;Adèle;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1029;Alexander Scriabin,Pierre Monteux;"Symphony No. 4 in C Major, Op. 54 ""Le Poème de l'extase"": VI. Allegro volando";['fr', 'french'];['fr', 'french'];fr;french;fr;french
1049;Erik Satie,Efrem Kurtz,Houston Symphony;Parade: II. Petite fille américaine;['fr', 'french'];['en', 'english'];en;english;fr;french
1053;Ottorino Respighi,London Symphony Orchestra,Ernest Ansermet;La boutique fantasque, P. 120 (after Rossini): Danse cosaque - Valse brillante;['fr', 'french'];['en', 'english'];en;english;fr;french
1143;Svend Asmussen;Avant de Mourir (My Prayer);['fr', 'french'];['da', 'danish'];da;danish;fr;french
1176;Georges Bizet,Fritz Reiner;Carmen: Act II: Non! Tu ne m'aimes pas;['fr', 'french'];['de', 'german'];de;german;fr;french
1189;Georges Bizet,Fritz Reiner;Carmen: Act II: Nous avons en tête une affaire (Quintet);['fr', 'french'];['de', 'german'];de;german;fr;french
1192;Georges Bizet,Fritz Reiner;Carmen: Act I: Quels regards! Quelle effronterie!;['fr', 'french'];['de', 'german'];de;german;fr;french
1197;Jean Cocteau,André Parinaud;Le surréalisme / La poésie;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
1225;Georges Bizet,Fritz Reiner;Carmen: Act I: Prés des remparts de Séville (Seguidilla);['fr', 'french'];['de', 'german'];de;german;fr;french
1236;Georges Bizet,Fritz Reiner;Carmen: Act III: Je dis que rien ne m'épouvante (Micaela's Air);['fr', 'french'];['de', 'german'];de;german;fr;french
1259;François Mauriac,Jean Amrouche;Premières lectures;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1281;Franz Schubert,Rudolf Serkin;6 Moments musicaux, D. 780, Op. 94: No. 5 in F Minor. Allegro vivace;['fr', 'french'];['de', 'german'];de;german;fr;french
1301;Maurice Ravel,Charles Münch;Rapsodie espagnole: IV. Feria. Assez animé (C Major);['fr', 'french'];['en', 'english'];en;english;fr;french
1307;"Claude Debussy,Heinz Rehfuss,André Vessieres,Suzanne Danco', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet";"Pelléas et Mélisande, L.88 / Act 4: ""Pelléas part ce soir""";['fr', 'french'];['fr', 'french'];fr;french;fr;french
1335;Claude Debussy,Irma Kolassi,André Collard;Fêtes galantes, L. 80: 1. En sourdine;['fr', 'french'];['te', 'telugu'];te;telugu;fr;french
1347;Maurice Ravel,Robert Casadesus;Miroirs, M. 43: I. Noctuelles;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1351;Georges Bizet,Richard Tucker,Fausto Cleva;"Carmen, Act II:""La fleur que tu m'avais jetée""";['fr', 'french'];['en', 'english'];en;english;fr;french
1385;Claude Debussy,Arturo Toscanini;Images, L. 122, 2. Ibéria: III. Le matin d'un jour de fête;['fr', 'french'];['en', 'english'];en;english;fr;french
1416;Claude Debussy,Walter Gieseking;Debussy: 12 Études, L. 143, L. 136: II. Pour les tierces;['fr', 'french'];['en', 'english'];en;english;fr;french
1419;Jazz Majestic Orchestra;Trois Fois Trois (Three Times Three);['fr', 'french'];['en', 'english'];en;english;fr;french
1423;Sacha Guitry;Montage d'un film;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1424;Reynaldo Hahn,Jacques Jansen,Jacqueline Bonneau;Si mes vers avaient des ailes;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1431;Hector Berlioz,Arturo Toscanini;Roméo et Juliette, Op. 17, H. 79: Bruits lointaines de concert et de bal;['fr', 'french'];['en', 'english'];en;english;fr;french
1433;Yves Montand;Mon pot' le gitan;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1486;Django Reinhardt;Nuages;['fr', 'french'];['en', 'english'];en;english;fr;french
1532;Édouard Lalo,Jascha Heifetz,William Steinberg;Symphonie espagnole, Op. 21: Andante;['fr', 'french'];['en', 'english'];en;english;fr;french
1570;Léo Delibes,Maria Callas,Tullio Serafin,Philharmonia Orchestra;"Delibes: Lakmé, Act 2: ""Où va la jeune indoue"" (Lakmé)";['fr', 'french'];['it', 'italian'];it;italian;fr;french
1601;Philippe Clay;Le danseur de Charleston;['fr', 'french'];['en', 'english'];en;english;fr;french
1650;Charles Aznavour;Et bailler et dormir;['fr', 'french'];['fr', 'french'];fr;french;fr;french
1705;Duke Ellington;Cafe Au Lait;['fr', 'french'];['en', 'english'];en;english;fr;french
1794;Fred Astaire,Audrey Hepburn;Bonjour, Paris;['fr', 'french'];['en', 'english'];en;english;fr;french
1937;Duke Ellington;Villes Ville Is the Place, Man;['fr', 'french'];['en', 'english'];en;english;fr;french
2020;Maurice Ravel,Glenn Gould;La Valse (Poème chorégraphique);['fr', 'french'];['en', 'english'];en;english;fr;french
2030;Serge Gainsbourg;Adieu créature;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2083;Pyotr Ilyich Tchaikovsky,Leonard Bernstein,New York Philharmonic,David Nadien;Swan Lake, Op. 20, TH 12: No. 5b, Pas de deux. Andante - Allegro;['fr', 'french'];['en', 'english'];en;english;fr;french
2130;Wes Montgomery;Renie;['fr', 'french'];['en', 'english'];en;english;fr;french
2176;Serge Gainsbourg;Le rock de Nerval;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2183;Les Chats Sauvages,Dick Rivers;Twist à Saint-Tropez;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2218;Serge Gainsbourg;Le sonnet d'Arvers;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2224;Percy Faith & His Orchestra;Mon Oncle;['fr', 'french'];['en', 'english'];en;english;fr;french
2226;Los Teen Tops;Popotitos (Bonie Moroni);['fr', 'french'];['en', 'english'];en;english;fr;french
2229;Georges Delerue;Brouillard (Version 1);['fr', 'french'];['en', 'english'];en;english;fr;french
2313;Adolphe Adam,Wiener Philharmoniker,Herbert von Karajan;Giselle / Act 2: No. 15 Grand pas de deux: a) Andante;['fr', 'french'];['de', 'german'];de;german;fr;french
2314;Serge Gainsbourg;Vilaines filles, mauvais garçons;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2328;Pete Drake,Little Roy Wiggins;Galaxie;['fr', 'french'];['en', 'english'];en;english;fr;french
2332;Serge Gainsbourg;L'appareil à sous;['fr', 'french'];['fr', 'french'];fr;french;fr;french
2414;Donald Byrd;Chant;['fr', 'french'];['en', 'english'];en;english;fr;french
2456;"Georges Bizet,Maria Callas', ""Orchestre de l'Opéra National de Paris"", 'Georges Prêtre', ""Orchestre du Théâtre National de l'Opéra Paris""";"Bizet: Carmen, WD 31, Act 2 Scene 1: No. 12, Chanson bohème, ""Les tringles des sistres tintaient"" (Mercédès, Frasquita, Carmen)";['fr', 'french'];['fr', 'french'];fr;french;fr;french
2807;The Velvet Underground,Nico;Femme Fatale;['fr', 'french'];['en', 'english'];en;english;fr;french
2960;Charles Aznavour;Désormais;['fr', 'french'];['fr', 'french'];fr;french;fr;french
3144;Django Reinhardt,Quintette du Hot Club de France;Vendredi 13;['fr', 'french'];['fr', 'french'];fr;french;fr;french
3224;Charles Aznavour;Non je n'ai rien oublié;['fr', 'french'];['fr', 'french'];fr;french;fr;french
3352;Frank Sinatra;Let Me Try Again (Laisse Moi le Temps);['fr', 'french'];['en', 'english'];en;english;fr;french
3363;Alain Goraguer;Méditation Des Enfants;['fr', 'french'];['fr', 'french'];fr;french;fr;french
3719;Funk Factory - Michael Urbaniak;Rien Ne Va Plus;['fr', 'french'];['en', 'english'];en;english;fr;french
3809;Toulouse;C'est toujours à recommencer;['fr', 'french'];['fr', 'french'];fr;french;fr;french
3881;Queen;Mustapha;['fr', 'french'];['en', 'english'];en;english;fr;french
3960;Jimmy Buffett;Chanson Pour Les Petits Enfants;['fr', 'french'];['en', 'english'];en;english;fr;french
4014;Supertramp;Goodbye Stranger - Live At Pavillon de Paris/1979;['fr', 'french'];['en', 'english'];en;english;fr;french
4148;Alain Barrière;Elle était si jolie;['fr', 'french'];['fr', 'french'];fr;french;fr;french
4415;Circle Jerks;Coup D'Etat;['fr', 'french'];['en', 'english'];en;english;fr;french
5160;Pixies;Trompe le Monde;['fr', 'french'];['en', 'english'];en;english;fr;french
5237;Black Sheep;La Menage;['fr', 'french'];['en', 'english'];en;english;fr;french
5254;Television;Mars;['fr', 'french'];['en', 'english'];en;english;fr;french
5480;Brigitte Bardot,Serge Gainsbourg;Je t'aime moi non plus;['fr', 'french'];['fr', 'french'];fr;french;fr;french
5517;Susan Egan,Burke Moses,Sarah Solie Shannon,Paige Price,Linda Talcott,Broadway Cast of Beauty and the Beast,Kenny Raskin;Belle;['fr', 'french'];['en', 'english'];en;english;fr;french
5648;Valeria Szervánszky,Ronald Cavaye;Ma mère l'oye, M. 60: 5. Le jardin féerique. Lent et grave;['fr', 'french'];['hu', 'hungarian'];hu;hungarian;fr;french
5995;John Williams,London Symphony Orchestra;Qui-Gon's Noble End;['fr', 'french'];['en', 'english'];en;english;fr;french
6157;Groove Armada;Suntoucher;['fr', 'french'];['en', 'english'];en;english;fr;french
6217;Yann Tiersen;La Valse d'Amélie - Version originale;['fr', 'french'];['fr', 'french'];fr;french;fr;french
6237;Desireless;Voyage voyage;['fr', 'french'];['en', 'english'];en;english;fr;french
6283;Carla Bruni;Chanson triste;['fr', 'french'];['it', 'italian'];it;italian;fr;french
6513;Bobby Bare;Marie Laveau;['fr', 'french'];['no', 'norwegian'];no;norwegian;fr;french
6639;Franz Schubert,Renée Fleming,Royal Philharmonic Orchestra,Andreas Delfs;Ave Maria, D. 839;['fr', 'french'];['en', 'english'];en;english;fr;french
6780;Saint Privat;Poisson rouge;['fr', 'french'];['da', 'danish'];da;danish;fr;french
6872;Maurice Ravel,Quatuor Ébène;Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé;['fr', 'french'];['fr', 'french'];fr;french;fr;french
6979;Pink Martini;Ou Est Ma Tete?;['fr', 'french'];['en', 'english'];en;english;fr;french
7082;Stacey Kent;Les eaux de mars;['fr', 'french'];['en', 'english'];en;english;fr;french
7301;Machine Gun Kelly,Dubo,DJ Xplosive;EST 4 Life;['fr', 'french'];['en', 'english'];en;english;fr;french
7494;Flight Facilities,Christine Hoberg;Clair De Lune;['fr', 'french'];['en', 'english'];en;english;fr;french
7634;Daniela Andrade;La Vie En Rose;['fr', 'french'];['pt', 'portuguese'];pt;portuguese;fr;french
8075;Delacey,G-Eazy;Cruel Intentions;['fr', 'french'];['en', 'english'];en;english;fr;french
8142;Apollo Fresh;JoJo Pose;['fr', 'french'];['en', 'english'];en;english;fr;french
8172;Frédéric Chopin,Vladimir Horowitz;"Étude in E Major, Op. 10, No. 3 ""Tristesse""";['fr', 'french'];['en', 'english'];en;english;fr;french
8186;Paul Whiteman;Georgie Porgie;['fr', 'french'];['en', 'english'];en;english;fr;french
8203;Georgius;C'est Un Chicandier;['fr', 'french'];['la', 'latin'];la;latin;fr;french
8275;Raquel Meller;Je Ne Sais Pas;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8284;Gerald Clark and his Caribbean Serenaders;Marguerite;['fr', 'french'];['en', 'english'];en;english;fr;french
8321;Blind Willie McTell;Chainey;['fr', 'french'];['en', 'english'];en;english;fr;french
8332;Fred Adison;Le Petit Train Départemental;['fr', 'french'];['en', 'english'];en;english;fr;french
8356;Suzy Solidor;Tout Comme Un Homme;['fr', 'french'];['en', 'english'];en;english;fr;french
8403;Hector Berlioz,Karl Böhm,Staatskapelle Dresden;Berlioz : La Damnation de Faust, Op. 24, H. 111, Part 1: III. Marche hongroise;['fr', 'french'];['de', 'german'];de;german;fr;french
8478;Jay McShann & His Orchestra;Coquette;['fr', 'french'];['en', 'english'];en;english;fr;french
8520;Igor Stravinsky,New York Philharmonic;Scènes de ballet: Pantomime II;['fr', 'french'];['en', 'english'];en;english;fr;french
8539;Charles Gounod,Bidu Sayão,Eric Leinsdorf,Columbia Symphony Orchestra;Je veux vivre from Roméo et Juliette (Act I);['fr', 'french'];['en', 'english'];en;english;fr;french
8636;Igor Stravinsky,Columbia Symphony Orchestra;Danse sacrale (L'Elue) from The Rite of Spring;['fr', 'french'];['en', 'english'];en;english;fr;french
8661;Johann Sebastian Bach,William Kapell;Partita No.4 in D Major, BWV 828: Allemande;['fr', 'french'];['de', 'german'];de;german;fr;french
8715;"""Vincent d'Indy"", 'Pierre Monteux";Introduction du 1er Acte;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8722;Maurice Ravel,Pierre Boulez,New York Philharmonic;"Danse générale from ""Daphnis et Chloê"" - Voice";['fr', 'french'];['en', 'english'];en;english;fr;french
8737;Claude Debussy,Robert Casadesus,Gaby Casadesus;Six épigraphes antiques, L. 131: I. Pour invoquer Pan, dieu du vent d'été;['fr', 'french'];['en', 'english'];en;english;fr;french
8752;Giacomo Puccini,Arturo Toscanini;La Bohème: Act III: Ohè, là, le guarde! Aprite!;['fr', 'french'];['it', 'italian'];it;italian;fr;french
8792;Maurice Ravel,Pierre Monteux;Daphnis et Chloé - Suite No. 1, M. 57a: Danse guerrière;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8794;"Igor Stravinsky', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet";"Divertimento from ""Baiser de la fée"": 3. Scherzo";['fr', 'french'];['fr', 'french'];fr;french;fr;french
8803;Georges Auric,Roger Desormières;Belle se rend au château de la Bête - Version originale de 1946;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8811;Claude Debussy,Robert Casadesus;Children's Corner, L. 113: I. Doctor Gradus ad Parnassum. Modérément animé;['fr', 'french'];['en', 'english'];en;english;fr;french
8830;Camille Saint-Saëns,Plácido Domingo,John DeMain;Mon coeur s'ouvre à ta voix from Samson et Dalila - Voice;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8851;Maurice Ravel,Robert Casadesus;Miroirs, M. 43: III. Une barque sur l'océan;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8898;Ludwig van Beethoven,Rudolf Serkin;"Sonata No. 26 in E-Flat Major for Piano, Op. 81a ""Les Adieux"": III. Le retour. Vivacissimamente";['fr', 'french'];['hu', 'hungarian'];hu;hungarian;fr;french
8961;Igor Stravinsky,Columbia Symphony Orchestra;L'Oiseau de feu: Carillon féerique, apparition des monstres-gardiens de Kachtchei et capture d'Ivan Tsarévitch - 1910 version;['fr', 'french'];['en', 'english'];en;english;fr;french
8967;Igor Stravinsky,Columbia Symphony Orchestra;"Le sacre du printemps: Part 1 ""Adoration of the Earth"", Ritual of Abduction";['fr', 'french'];['en', 'english'];en;english;fr;french
8968;Colette,René-Maurice Picard;Les auberges de la Côte;['fr', 'french'];['fr', 'french'];fr;french;fr;french
8971;Igor Stravinsky,Michael Tilson Thomas;Le sacre du printemps (The Rite of Spring): Première partie: L'adoration de la terre (Part I: Adoration of the Earth): Rondes printanières (Spring Rounds);['fr', 'french'];['en', 'english'];en;english;fr;french
8973;Igor Stravinsky,Concertgebouworkest,Eduard van Beinum;Le Sacre du Printemps / Part 2: Le Sacrifice: 6. Danse sacrale: l'élue;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
8989;Igor Stravinsky,Pierre Boulez,Cleveland Orchestra;"Le sacre du printemps (1947 version): Pt. 2 ""The Sacrifice"", Sacrificial Dance";['fr', 'french'];['en', 'english'];en;english;fr;french
9002;Igor Stravinsky,Pierre Boulez,Cleveland Orchestra;"Le sacre du printemps (1947 version): Pt. 1 ""Adoration of the Earth"", Games of the Rival Clans";['fr', 'french'];['en', 'english'];en;english;fr;french
9019;Igor Stravinsky,Columbia Symphony Orchestra;"Le sacre du printemps: Part 2 ""The Sacrifice"", The Summoning of the Ancients";['fr', 'french'];['en', 'english'];en;english;fr;french
9025;Igor Stravinsky,Concertgebouworkest,Eduard van Beinum;Le Chant du Rossignol - Poème symphonique: 2. Marche chinoise;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
9028;Colette,René-Maurice Picard;La vieillesse, les infirmités;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9072;Bourvil;C'est l'piston;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9090;André Gide,Jean Amrouche;Péguy, Rolland, Jarry, Apollinaire;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9107;Colette,André Parinaud,Robert Casadessus;Travailler aux ateliers;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
9111;Georges Bizet,Richard Tucker,Pierre Dervaux;"Carmen, Act II: ""Air de fleur"" - Remasterd 2013";['fr', 'french'];['en', 'english'];en;english;fr;french
9119;André Gide,Jean Amrouche;L'acte gratuit;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9161;Igor Stravinsky;Divertimento from Le baiser de la fée: IV. Pas de deux;['fr', 'french'];['en', 'english'];en;english;fr;french
9177;André Breton,André Parinaud;De la fin de Dada au premier manifeste surréaliste: activités expérimentales. Robert Desnos / L'aventure surréaliste;['fr', 'french'];['co', 'corsican'];co;corsican;fr;french
9178;Charles Aznavour,Pierre Roche;Retour;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9196;Rundfunk-Sinfonieorchester Leipzig,Hermann Abendroth;"Symphony No. 6, Op. 74 ""Pathétique"": II. Allegro con grazia";['fr', 'french'];['de', 'german'];de;german;fr;french
9260;Erik Satie,Francis Poulenc;Croquis et agaceries d'un gros bonhomme en bois: I. Tyrolienne turque;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
9269;Igor Stravinsky,Arturo Toscanini;Pétrouchka (Version 1911) - Tableau I, Fête populaire de la semaine grasse: I. Vivace;['fr', 'french'];['en', 'english'];en;english;fr;french
9285;Georges Bizet,Fritz Reiner;Carmen: Act I: Reste là maintenant, pendant que je lirai;['fr', 'french'];['de', 'german'];de;german;fr;french
9361;Darius Milhaud,Irma Kolassi,André Collard;Poèmes juifs: Chant de Sion;['fr', 'french'];['te', 'telugu'];te;telugu;fr;french
9365;François Mauriac,Jean Amrouche;Une conscience en éveil;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9370;Claude Debussy,Pierre Bernac,Francis Poulenc;Beau soir, L. 6;['fr', 'french'];['en', 'english'];en;english;fr;french
9403;Yves Montand;Le Peintre, La Pomme Et Picasso;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9426;Nicolás Cieri;La Seine;['fr', 'french'];['es', 'spanish'];es;spanish;fr;french
9428;"Claude Debussy,Pierre Mollet,Suzanne Danco', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet";"Pelléas et Mélisande, L.88 / Act 2: ""Vous ne savez pas...C'est au bord d'une fontaine""";['fr', 'french'];['fr', 'french'];fr;french;fr;french
9438;Igor Stravinsky,Eugene Ormandy,Philadelphia Orchestra;Stravinsky: L'oiseau de feu (The Firebird) - Suite (1919): Berceuse (Lullaby);['fr', 'french'];['en', 'english'];en;english;fr;french
9456;Yves Montand;Du soleil plein la tête - Récital au Théâtre de L'etoile;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9471;Dom David,Dom Pothier,Benedictine Monks Of St. Wandrille De Fontenelle;Miserere Et Parce;['fr', 'french'];['en', 'english'];en;english;fr;french
9483;Claude Debussy,Walter Gieseking;Debussy: Préludes, Book 1, L. 125, L. 117: III. Le vent dans la plaine;['fr', 'french'];['en', 'english'];en;english;fr;french
9525;Luigi Cherubini,Arturo Toscanini;Médée: Overture;['fr', 'french'];['it', 'italian'];it;italian;fr;french
9545;Jean-Marie Amato;Telegraphique;['fr', 'french'];['it', 'italian'];it;italian;fr;french
9546;Suzy Delair;Un baiser qui n'en finit plus;['fr', 'french'];['en', 'english'];en;english;fr;french
9556;Claude Debussy,Arthur Gold,Robert Fizdale;Six épigraphes antiques, L. 131: III. Pour que la nuit soit propice;['fr', 'french'];['en', 'english'];en;english;fr;french
9561;Jean Giono,Taos Amrouche;Le service à Briançon;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9566;Jean Servais;L'or: Chapitre XIV 59;['fr', 'french'];['fr', 'french'];fr;french;fr;french
9569;"Carre,Cormon,Georges Bizet', ""André Cluytens - Henri Legay - Orchestre Du Théatre National De L'Opéra Comique""";Les Pêcheurs De Perles - Acte I - Une Plage De L'île De Ceylan - N°4 - Romance : Je Crois Encore Entendre (Nadir);['fr', 'french'];['fr', 'french'];fr;french;fr;french
9570;The Blue Stars;Mister L'Amour;['fr', 'french'];['en', 'english'];en;english;fr;french
9575;Maurice Maeterlinck;J'ai Marche Trente Ans, Mes Soeurs;['fr', 'french'];['da', 'danish'];da;danish;fr;french
9599;Odette Joyeux;L'électricité meurt brusquement...;['fr', 'french'];['fr', 'french'];fr;french;fr;french
